"Deal - ID","Deal - Value","Organization - MRR","Deal - Title","Deal - Deal created","Deal - Deal closed on","Deal - Stage","Deal - Status","Deal - Won time","Deal - Lost time","Deal - Total activities","Deal - Organization","Organization - Status konta","Deal - Nazwa Partnera","Deal - Lost reason"
"28647","0","0","Hampton by Hilton Warsaw Mokotow","2026-03-17 09:45:00","","Consideration","Open","","","2","Hampton by Hilton Warsaw Mokotow","","Pracuj.pl",""
"28655","0","0","Vision Express sp. z o.o.","2026-03-17 14:22:18","","Follow up","Open","","","3","Vision Express sp. z o.o.","","eRecruiter",""
"28772","0","0","Spółdzielcza Mleczarnia Spomle","2026-03-24 09:56:08","","Prospect","Open","","","1","Spółdzielcza Mleczarnia Spomle","Zablokowane","Pracuj.pl",""
"28777","0","0","Frisco","2026-03-24 10:56:17","","Demo/Meeting","Open","","","3","Frisco","","eRecruiter",""
"28807","0","0","PG Biogaz","2026-03-25 13:03:06","","Lead","Open","","","4","PG Biogaz","","Pracuj.pl",""
"28837","1000","0","Hotel Hampton by Hilton Wspolna Hotel Management Sp. z o.o","2026-03-26 13:24:33","","Demo/Meeting","Open","","","2","Hotel Hampton by Hilton Wspolna Hotel Management Sp. z o.o","","Pracuj.pl",""
"28854","0","0","Kolporter spółka z ograniczoną odpowiedzialnością","2026-03-27 09:37:33","","Follow up","Open","","","2","Kolporter spółka z ograniczoną odpowiedzialnością","","eRecruiter",""
"28863","0","0","Radisson Hotele HQ","2026-03-27 12:57:36","","Lead","Open","","","1","Radisson Hotele HQ","","Pracuj.pl",""
"28864","0","0","ihg.com","2026-03-27 13:01:29","","Follow up","Open","","","2","ihg.com","","eRecruiter",""
"28919","0","0","Deal Spółdzielnia Handlowa Jubilat ❌","2026-03-30 13:44:10","","Lead","Open","","","4","Spółdzielnia Handlowa Jubilat","","Pracuj.pl",""
"28920","1851.53","0","Deal Kuźnia Matrycowa ❌","2026-03-30 13:51:21","","Lead","Open","","","3","Kuźnia Matrycowa","","Pracuj.pl",""
"28986","0","0","GWIAZDA MORZA"" HOTEL MANAGEMENT Sp. z o.o. Sp. K.","2026-04-02 13:35:42","","Follow up","Open","","","1","GWIAZDA MORZA"" HOTEL MANAGEMENT Sp. z o.o. Sp. K.","","eRecruiter",""
